14621096,7032,100,4,189,1,55
16456166,4007,100,1,65,3,21
62788936,6049,100,1,815,0,162
13478536,7004,100,0,0,0,0
45983703,10007,100,0,40,0,15
14828197,10007,100,0,91,2,19
13957403,7012,100,0,67,1,41
1654154,4051,7.7,24,494,25,358
367437740,4073,100,0,13,1,10
71888448,4025,100,0,181,0,37
124929394,7020,100,1,11,0,7
16390629,9032,100,2,157,1,33
12398947,9129,100,1,28,1,18
68599080,4053,100,0,35,0,30
151592171,7024,100,0,1,0,1
142575558,7016,100,0,0,0,0
11880099,7016,100,0,89,2,19
41673627,4003,100,0,34,0,9
32781999,7020,100,0,6,0,2
100287898,7032,100,0,22,0,9
1712003,7021,100,9,1647,3,349
375881719,1015,100,0,5,0,5
1406123,6035,7.4,14,1119,4,655
7672163,6004,7.5,21,1158,6,658
8031712,10023,100,1,1002,0,49
30837259,2006,100,0,31,0,7
9362426,10023,100,1,380,0,135
42842901,6049,100,0,78,0,9
38301686,9113,100,0,18,0,6
21972596,9084,100,0,85,0,25
203573475,9074,100,0,9,0,5
20382475,7012,100,2,84,3,86
64039748,9074,100,0,96,0,8
139507764,4060,100,0,3,0,2
11199194,5003,100,2,243,2,101
16346768,4066,100,0,82,2,41
9029590,1025,100,0,68,0,38
168583870,4999,100,0,1,0,1
104910445,4999,100,0,1,0,1
105533227,4999,100,0,0,0,0
105529425,4004,100,1,57,3,14
158839824,9089,100,3,91,1,14
116423708,9060,100,0,2,0,2
102433391,9009,100,0,43,0,10
29884286,7024,100,0,50,0,5
149268075,9006,100,0,0,0,0
11147571,9009,100,0,113,1,59
16045442,6049,100,4,1738,1,501
8959022,7032,100,2,196,0,114
163938124,4999,100,2,24,6,20
30943067,4004,100,0,1,0,1
314542930,4004,100,1,210,2,51
392798804,4004,100,3,93,1,40
46342841,9057,100,0,9,0,6
354647,10016,100,0,4865,3,504
4887872,4066,7.5,9,633,11,342
9300128,4041,5.3,7,507,9,265
37375078,4017,7.2,8,216,3,123
38955996,9084,100,1,107,0,68
10439858,4034,5.2,3,736,8,247
5874330,10007,100,1,186,0,49
12023590,9028,100,4,872,1,183
482574101,9113,100,1,4,0,5
22447533,4004,100,1,96,2,67
34244626,4009,100,1,41,0,28
45888472,4026,100,1,151,1,97
100088382,4004,100,0,23,1,15
9397294,4003,6.7,8,672,8,194
27711026,4004,100,0,18,0,11
69002531,4004,100,0,14,2,8
7743673,9061,100,2,424,2,203
25270958,9061,100,2,56,2,30
94661989,9113,100,0,46,1,11
169113209,9085,100,0,0,0,0
19665171,5999,100,1,78,0,69
534618677,4004,100,0,5,0,4
285924885,6001,7.6,37,2544,6,612
2523255,4004,6.2,44,3095,40,1356
3509559,4004,7.3,11,790,5,378
12505003,9122,7.6,6,371,11,122
67109724,9011,6.6,1,876,0,149
173589882,9071,100,0,1,0,1
75908379,4025,100,0,4,0,1
89160049,9032,100,0,26,1,16
8008066,4004,100,2,149,1,83
178640335,9028,100,0,17,0,13
100133036,9032,100,1,36,1,18
16149711,9028,100,0,35,0,32
80641097,9028,100,0,1,0,1
97485492,8004,100,1,22,1,2
29126924,9028,100,1,25,0,21
18327507,9113,6.3,5,174,4,66
99766258,4017,5.5,4,106,6,65
31116134,9043,6.5,0,200,0,78
85440183,9028,100,0,8,0,6
33201776,9011,100,0,34,0,9
72516331,7030,100,0,27,0,10
93972598,10023,100,0,3,0,3
212999801,7004,100,0,2,0,2
63463734,8004,100,0,3,0,2
84036333,9022,100,0,439,0,18
96095969,9091,100,1,11,0,6
10572751,7032,100,1,160,0,14
27208858,2015,100,2,186,1,30
37256811,7020,100,0,10,0,8
118253748,8004,100,0,2,0,1
81898078,9038,100,4,52,0,39
14091490,9057,100,0,12,0,6
104885700,7030,100,0,9,0,4
147948727,9122,100,0,24,1,12
16717581,4009,100,3,298,1,73
18476470,4031,100,4,182,4,71
153164085,10029,100,0,40,1,14
26628311,9006,100,1,2,2,1
24480358,4070,100,0,20,0,18
8569737,9054,100,0,51,2,16
47740734,7024,100,0,2,0,2
71169327,4053,100,1,31,6,16
175258540,4004,100,0,20,1,11
168179451,10007,100,0,231,0,22
97510732,9089,100,0,13,0,6
105084543,7020,100,0,14,0,9
236690201,4999,100,0,0,0,0
224755839,9085,100,1,23,5,5
306002571,9043,100,0,0,1,0
9301388,4028,6.4,23,1978,11,706
105458144,8004,100,1,14,0,3
101886501,4026,100,0,23,0,17
125076867,10007,100,0,45,0,22
18219119,9032,100,2,73,0,21
15090162,9054,100,0,11,0,9
109704184,9074,100,0,5,0,4
32044165,7030,100,0,71,0,4
15360045,4066,7.4,5,503,10,189
6529290,7004,100,0,87,0,28
121380789,9054,100,1,14,0,9
22020167,7030,100,0,237,0,17
114088242,4070,100,0,13,0,11
22441254,10999,100,0,8,0,3
32397860,9043,100,4,189,1,101
16810445,4004,100,1,41,1,20
261155682,9091,100,0,6,1,4
100606000,9122,100,0,19,0,9
73754546,4017,6.6,4,82,3,52
53600545,6033,100,0,4,0,2
2545231,10007,100,5,893,1,343
68698094,9011,6.5,2,63,0,37
179515011,4017,100,0,0,0,0
30147406,4070,100,2,124,2,88
282478151,7020,100,0,18,0,4
49704026,4009,100,0,19,1,13
138096470,4070,100,1,14,0,8
106909176,9085,100,0,4,0,2
51631551,5001,100,0,17,0,14
11754720,4061,100,2,32,3,24
124334645,9113,100,0,17,0,3
131958227,4028,6.4,2,41,1,28
96390592,4004,100,2,116,2,18
106699468,9011,6.5,1,231,0,87
3706244,4066,100,1,137,1,55
105776480,9032,100,1,19,0,4
40020589,9011,6.1,0,82,1,23
6933277,9132,100,0,23,1,5
52877147,4999,100,0,3,0,2
25208757,4009,100,1,19,3,18
8056017,9028,100,0,37,0,19
11502280,9101,5.9,0,230,0,89
7077596,4061,7.5,8,205,3,105
145834335,9064,100,1,13,0,4
917062403,4017,100,2,19,3,17
7232232,4070,100,3,207,5,83
69159127,4015,100,0,7,1,6
28894129,7020,100,0,16,0,5
6527394,4053,100,0,35,2,24
5149884,9054,100,1,29,3,20
157795569,4009,100,0,13,0,8
10492311,4025,100,1,41,0,31
15421996,9089,100,0,4,0,2
170577740,4066,100,1,13,1,7
5563405,4017,100,3,88,3,50
5587000,6033,100,2,469,0,53
171668667,9054,100,1,4,0,4
7935943,9101,100,0,63,0,8
83927395,6033,100,0,53,0,16
217359252,5005,100,0,6,0,1
44740717,4999,100,0,5,0,3
7334445,4004,100,3,83,0,33
7766034,4066,100,1,74,0,44
9591375,9089,100,0,50,1,21
17734646,7032,100,0,42,0,15
532819581,8004,100,0,9,0,4
10475825,7030,100,0,56,0,19
51121581,9054,100,0,20,0,17
87412565,8003,100,0,108,0,9
92385180,6039,100,0,9,0,4
12700385,1020,100,0,8,0,8
109934932,7024,100,1,7,1,6
153040,6037,7.0,8,843,7,413
162870245,7032,100,0,8,0,8
17962027,7030,100,2,1824,1,228
119825748,1021,100,0,0,0,0
171397551,1021,100,0,0,0,0
230500954,10013,100,0,0,0,0
115272548,7032,100,1,29,0,4
171445620,8004,100,0,2,0,1
20070537,8004,100,2,91,0,9
552203674,9054,100,0,13,0,10
8539222,8004,100,0,94,0,20
52915967,9108,100,0,74,0,15
170782870,5006,100,0,2,0,2
26439329,10017,100,0,5,0,3
533395057,9009,100,0,1,0,1
7894045,4003,7.8,33,1081,12,768
20826301,8004,100,0,13,0,9
35225265,7020,100,1,264,5,71
178600457,7020,100,0,13,0,5
32070829,7030,100,1,23,0,8
177405432,1013,100,0,4,0,1
6773761,6001,100,1,132,1,92
73025659,6001,100,0,117,1,159
1557709,6033,100,9,464,4,312
31842251,7999,100,0,21,0,6
99952807,6039,100,0,2,0,2
67297507,7020,100,0,33,0,10
65481869,7020,100,2,809,1,209
160756811,7020,100,0,25,2,11
88558985,9084,100,1,5,0,4
76805632,10007,100,0,5,1,4
91734842,7020,100,0,9,0,4
117916127,7020,100,0,36,0,6
6290862,9130,100,1,66,1,47
7802286,6001,6.3,7,1812,2,214
87273382,10023,100,0,18,0,6
27091111,10023,100,0,984,1,295
9516168,10008,100,0,409,4,100
22658249,10008,100,1,62,0,49
34798525,8004,100,1,1185,1,86
15286457,6051,100,0,76,0,49
42972971,7030,100,0,9,1,9
3330545,7012,100,2,261,3,81
36309051,7021,100,0,27,0,4
88298265,6033,100,0,4,0,4
116798660,7012,100,0,9,0,7
6990717,7032,100,0,75,0,14
23139536,4007,100,1,50,0,37
18486427,5002,100,0,195,1,23
8559527,1005,100,2,174,2,72
6632520,2023,100,0,43,1,6
3016171,6004,100,0,239,0,120
74793939,7024,100,0,9,0,1
52975776,9084,100,2,170,0,61
125671441,6001,100,0,3,0,3
119673806,10023,100,0,2,0,2
18252836,6049,100,0,32,0,10
27869581,10007,100,2,1011,1,78
8994120,9054,100,2,245,2,73
232203494,4066,100,0,1,0,1
93198145,7030,100,1,51,1,5
22582423,7030,100,0,32,1,5
7901667,7030,100,2,59,0,17
127988268,10011,100,0,0,0,0
107886486,7030,100,0,6,0,4
